Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
Customers Who did not stay



Customer  Arrival    Service
   Id      Time       Time  
--------  -------    -------
27    38.67      0.71
29    46.41      32.38
30    47.09      5.01
31    47.30      13.26
32    47.40      2.71
33    48.34      5.67
36    53.10      0.97
37    53.86      15.09
38    54.29      14.40
41    64.17      3.83
42    64.80      16.99
45    71.12      3.07
46    71.64      1.31
49    77.41      3.79
57    98.77      1.76
63    110.38      2.11
64    110.79      11.95
65    112.01      2.26
75    134.40      2.07
76    136.55      7.92
78    139.22      16.62
81    146.22      1.77
82    146.30      1.97
84    149.04      1.05
85    149.71      2.71
86    149.73      8.35
87    150.72      4.15
88    151.17      14.70
89    153.08      4.75
97    170.00      2.39
101    174.39      3.19
102    174.46      0.82
103    175.69      4.03
104    175.88      9.00
105    179.36      5.52
129    239.09      29.66
130    242.54      6.79
131    242.94      0.65
132    243.23      18.51
185    358.47      5.92
187    360.55      16.12
199    390.70      2.75
200    392.29      3.04
201    392.90      11.36
202    393.19      13.93
204    399.22      33.17
205    399.78      2.15
206    401.87      10.61
207    402.75      8.19
208    403.15      1.67
220    436.70      2.07
222    440.12      55.39
232    452.63      5.14
233    454.46      2.43
237    465.89      4.53
238    465.93      11.59
241    466.97      3.13
242    467.90      4.71



Number of Tellers: 3
Number of Queues: 1
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 246
Number of customers served: 188
Num. Turned Away: 58
Num. who waited: 179
Average Wait: 18.079812808387327
Max Wait: 42.04115346498504
Std. Dev. Wait: 9.228642661652792
Ave. Service: 7.990572386782299
Average Waiter Wait: 18.988853675848144
Ave. in System: 26.070385195169617

Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  1    0.65      7.70      -1      0     0.65      0.00      8.36      7.70
  2    1.49      10.95      -1      1     1.49      0.00      12.44      10.95
  3    4.61      8.79      -1      2     4.61      0.00      13.39      8.79
  4    7.11      14.06      0      0     8.36      1.25      22.42      15.31
  6    12.90      5.21      -1      1     12.90      0.00      18.11      5.21
  8    14.64      12.42      -1      2     14.64      0.00      27.06      12.42
  7    13.06      2.51      1      1     18.11      5.05      20.63      7.57
  11    18.20      5.34      1      1     20.63      2.43      25.97      7.77
  5    10.82      5.62      0      0     22.42      11.60      28.04      17.22
  12    19.86      10.74      1      1     25.97      6.11      36.71      16.85
  9    15.90      5.44      2      2     27.06      11.16      32.50      16.60
  10    16.06      3.26      0      0     28.04      11.98      31.30      15.24
  14    20.59      0.51      0      0     31.30      10.71      31.81      11.22
  17    23.93      23.92      0      0     31.81      7.88      55.73      31.80
  13    19.91      10.36      2      2     32.50      12.59      42.86      22.94
  15    21.77      16.89      1      1     36.71      14.93      53.59      31.82
  18    23.98      8.47      2      2     42.86      18.88      51.32      27.35
  21    30.16      13.78      2      2     51.32      21.17      65.10      34.95
  16    21.83      13.13      1      1     53.59      31.76      66.72      44.89
  19    24.93      8.92      0      0     55.73      30.80      64.65      39.72
  22    32.66      16.43      0      0     64.65      31.99      81.08      48.42
  24    35.37      6.72      2      2     65.10      29.73      71.82      36.45
  20    27.31      13.22      1      1     66.72      39.41      79.94      52.63
  29    46.41      32.38      2      2     71.82      25.41      104.20      57.79
  26    37.25      4.49      1      1     79.94      42.69      84.43      47.18
  23    34.92      5.11      0      0     81.08      46.16      86.19      51.27
  37    53.86      15.09      1      1     84.43      30.56      99.51      45.65
  25    36.52      4.41      0      0     86.19      49.67      90.60      54.08
  39    58.21      15.91      0      0     90.60      32.39      106.51      48.30
  43    68.65      12.62      1      1     99.51      30.86      112.13      43.48
  36    53.10      0.97      2      2     104.20      51.10      105.17      52.07
