Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  95    167.20      1.39      1      1     180.12      12.92      181.51      14.31
  96    169.51      4.12      2      2     180.21      10.70      184.33      14.82
  85    149.71      2.71      0      0     180.96      31.26      183.68      33.97
  101    174.39      3.19      1      1     181.51      7.11      184.70      10.30
  94    166.42      5.65      3      3     183.37      16.95      189.02      22.61
  97    170.00      2.39      0      0     183.68      13.67      186.06      16.06
  98    170.72      15.34      2      2     184.33      13.61      199.68      28.95
  103    175.69      4.03      1      1     184.70      9.01      188.73      13.04
  100    173.54      7.66      0      0     186.06      12.52      193.73      20.19
  106    181.72      1.17      1      1     188.73      7.01      189.90      8.18
  99    171.91      0.52      3      3     189.02      17.12      189.55      17.64
  110    190.43      19.49      -1      1     190.43      0.00      209.93      19.49
  111    193.22      6.36      -1      3     193.22      0.00      199.58      6.36
  108    187.00      1.32      0      0     193.73      6.73      195.05      8.05
  109    188.59      2.09      0      0     195.05      6.46      197.14      8.55
  107    184.66      14.71      2      2     199.68      15.02      214.38      29.72
  113    208.42      9.00      -1      0     208.42      0.00      217.42      9.00
  114    209.52      26.31      -1      3     209.52      0.00      235.83      26.31
  112    194.34      6.56      1      1     209.93      15.59      216.49      22.15
  117    211.53      12.74      2      2     214.38      2.85      227.12      15.59
  116    211.12      6.87      1      1     216.49      5.37      223.36      12.24
  115    209.58      8.12      0      0     217.42      7.84      225.54      15.96
  121    215.92      2.08      1      1     223.36      7.44      225.44      9.52
  123    219.50      1.55      1      1     225.44      5.94      226.99      7.49
  120    215.54      3.90      0      0     225.54      9.99      229.44      13.89
  124    225.94      4.59      1      1     226.99      1.05      231.58      5.64
  119    214.41      10.71      2      2     227.12      12.72      237.83      23.43
  122    218.67      4.09      0      0     229.44      10.77      233.53      14.86
  125    233.90      16.91      -1      0     233.90      0.00      250.82      16.91
  118    214.27      9.72      3      3     235.83      21.56      245.55      31.28
  126    237.20      5.15      -1      1     237.20      0.00      242.35      5.15
  127    238.03      1.40      -1      2     238.03      0.00      239.43      1.40
  129    239.09      29.66      1      1     242.35      3.27      272.01      32.92
  130    242.54      6.79      -1      2     242.54      0.00      249.33      6.79
  133    245.66      0.53      -1      3     245.66      0.00      246.19      0.53
  134    247.66      6.39      -1      3     247.66      0.00      254.05      6.39
  132    243.23      18.51      2      2     249.33      6.10      267.84      24.60
  128    238.19      8.50      0      0     250.82      12.63      259.32      21.13
  135    249.24      10.72      3      3     254.05      4.81      264.78      15.54
  137    250.96      1.54      0      0     259.32      8.35      260.85      9.89
  139    254.89      1.83      0      0     260.85      5.96      262.68      7.79
  143    264.55      5.96      -1      0     264.55      0.00      270.52      5.96
  138    254.16      3.12      3      3     264.78      10.62      267.90      13.75
  136    250.80      2.11      2      2     267.84      17.03      269.95      19.15
  142    258.25      1.87      3      3     267.90      9.65      269.77      11.52
  145    268.96      10.97      3      3     269.77      0.81      280.75      11.78
  141    256.23      1.12      2      2     269.95      13.72      271.07      14.84
  144    264.97      5.44      0      0     270.52      5.54      275.95      10.98
  131    242.94      0.65      1      1     272.01      29.08      272.66      29.72
  147    272.30      5.74      -1      2     272.30      0.00      278.03      5.74
  140    255.76      2.14      1      1     272.66      16.89      274.79      19.03
  148    273.68      31.72      1      1     274.79      1.11      306.51      32.83
  146    269.55      1.89      0      0     275.95      6.40      277.85      8.30
  149    278.44      3.91      -1      0     278.44      0.00      282.35      3.91
  150    287.41      4.10      -1      0     287.41      0.00      291.51      4.10
  151    287.83      3.88      -1      2     287.83      0.00      291.71      3.88
  152    297.91      19.29      -1      0     297.91      0.00      317.20      19.29
  153    298.05      0.95      -1      2     298.05      0.00      299.00      0.95
  154    299.42      3.03      -1      2     299.42      0.00      302.45      3.03
  155    300.05      19.83      -1      3     300.05      0.00      319.88      19.83
  156    303.74      3.35      -1      2     303.74      0.00      307.09      3.35
  158    305.06      0.30      1      1     306.51      1.45      306.81      1.75
  159    306.62      4.33      1      1     306.81      0.19      311.13      4.51
  160    313.44      7.27      -1      1     313.44      0.00      320.71      7.27
  161    313.87      1.60      -1      2     313.87      0.00      315.47      1.60
  157    304.04      4.12      0      0     317.20      13.16      321.32      17.28
  162    314.35      3.81      1      1     320.71      6.36      324.52      10.17
  163    321.12      8.88      -1      2     321.12      0.00      330.00      8.88
  164    322.40      2.35      -1      0     322.40      0.00      324.75      2.35
  165    329.14      7.81      -1      0     329.14      0.00      336.95      7.81
  166    329.15      3.39      -1      1     329.15      0.00      332.54      3.39
